PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
0,0,0,0.0,1,0,0,1,2,32,1,0,0,3.0,0,0.0,0,2892,0,1,2,28,4
0,0,0,0.0,1,3,3,1,1,15,1,0,0,2.0,0,3.0,1,2208,0,1,2,32,4
0,0,0,0.0,1,2,0,1,1,8,1,0,0,4.0,0,3.0,1,2228,0,0,1,18,0
0,0,0,0.0,1,2,0,0,1,8,1,0,0,3.0,1,0.0,0,3850,6988,1,2,54,7
0,0,0,0.0,1,2,0,0,1,48,1,0,0,3.0,0,3.0,1,2015,0,0,2,23,0
0,0,0,0.0,1,0,0,1,1,8,0,0,0,4.0,0,3.0,1,1590,0,0,2,24,0
0,0,0,0.0,1,3,0,1,1,32,0,0,0,3.0,0,0.0,0,1376,0,0,2,29,0
0,0,0,0.0,1,2,0,1,2,8,0,0,1,4.0,0,3.0,1,3254,0,0,0,28,0
0,0,0,0.0,1,2,0,1,1,8,1,0,0,2.0,1,0.0,0,2015,7006,0,2,46,0
0,0,0,0.0,1,0,3,1,1,8,0,0,0,3.0,0,0.0,0,1376,0,0,2,24,0
0,0,0,0.0,1,2,0,0,1,20,0,0,1,0.0,0,0.0,0,2169,0,0,1,22,0
0,0,0,0.0,1,0,0,0,1,43,1,0,0,4.0,0,3.0,1,4720,0,0,2,31,0
0,0,0,0.0,1,0,0,1,1,8,0,0,0,3.0,0,1.0,0,1376,0,0,1,25,0
0,0,0,0.0,1,2,3,1,1,0,0,0,1,0.0,0,3.0,1,2169,0,0,0,23,0
0,0,0,0.0,1,2,0,1,1,32,1,0,1,2.0,1,0.0,0,1376,22798,0,2,38,0
0,0,0,0.0,1,3,3,0,1,32,0,0,0,0.0,0,3.0,1,1590,0,0,1,21,0
0,0,0,0.0,1,2,0,1,1,32,1,0,0,3.0,1,0.0,0,2015,20292,0,2,45,0
0,0,0,0.0,1,0,3,1,1,32,0,0,0,3.0,0,2.0,0,1376,0,0,1,20,0
0,0,0,0.0,1,2,0,1,1,19,0,0,1,0.0,0,0.0,0,2169,0,0,1,31,0
0,0,0,0.0,1,3,0,1,1,8,0,0,0,4.0,0,2.0,0,920,0,0,2,29,0
0,0,0,0.0,1,2,0,1,1,32,0,0,1,0.0,0,0.0,0,2169,0,0,1,28,0
0,0,0,0.0,1,0,3,0,1,32,0,0,0,4.0,0,2.0,0,3213,0,1,2,30,5
0,0,0,0.0,1,2,0,1,1,45,0,0,1,3.0,0,0.0,0,2169,0,0,1,20,0
0,0,0,0.0,1,0,0,0,1,19,0,0,0,2.0,1,0.0,0,1376,5249,0,2,41,0
0,0,0,0.0,1,0,0,0,1,8,0,0,0,3.0,0,1.0,0,2234,0,0,1,28,0
0,0,0,0.0,1,2,0,1,1,41,1,0,0,4.0,0,3.0,1,4513,0,0,2,25,0
0,0,0,0.0,1,3,3,1,1,9,1,0,0,4.0,1,2.0,0,1376,12530,1,2,26,5
0,0,0,0.0,1,3,0,1,1,41,0,0,0,2.0,1,3.0,1,1818,5439,0,2,25,0
0,0,0,0.0,1,0,3,1,1,32,1,0,0,4.0,1,0.0,0,2208,13414,1,2,37,6
0,0,0,0.0,1,3,3,0,1,41,0,0,0,4.0,0,2.0,0,1818,0,0,2,29,0
0,0,0,0.0,1,2,0,0,1,22,1,0,1,4.0,1,0.0,0,1376,2385,1,2,20,3
0,0,0,0.0,1,3,0,0,1,41,0,0,0,3.0,0,0.0,0,1818,0,0,2,31,0
0,0,0,0.0,1,2,0,1,1,39,1,0,0,3.0,1,0.0,0,3850,9204,1,2,52,7
0,0,0,0.0,1,2,0,1,1,43,0,0,1,0.0,0,2.0,0,2169,0,0,1,23,0
0,0,0,0.0,1,2,0,1,1,19,1,0,0,4.0,0,1.0,0,2015,0,0,1,22,0
0,0,0,0.0,1,0,3,1,1,27,0,0,0,0.0,1,0.0,0,1376,4432,0,2,21,0
0,0,0,0.0,1,3,2,0,1,22,0,0,0,4.0,1,3.0,1,2594,6385,0,2,46,0
0,0,0,0.0,1,0,3,1,1,17,0,0,0,2.0,1,1.0,0,1376,4727,0,1,39,0
0,0,0,0.0,1,2,0,0,1,19,1,0,0,3.0,1,0.0,0,2015,13954,0,1,48,0
0,0,0,0.0,1,0,0,0,1,32,1,0,0,3.0,1,0.0,0,2892,14000,1,2,38,7
0,0,0,0.0,1,0,2,0,1,48,0,0,0,4.0,0,3.0,1,1376,0,0,1,18,0
0,0,0,0.0,1,0,0,0,1,33,1,0,0,4.0,1,1.0,1,2892,8957,1,2,48,6
0,0,0,0.0,1,2,0,0,1,52,1,0,0,4.0,1,3.0,1,1560,6602,0,1,44,0
0,0,0,0.0,1,0,3,0,1,32,1,0,0,4.0,1,1.0,0,2208,25046,1,1,62,9
0,0,0,0.0,1,2,0,1,1,4,1,0,1,4.0,1,3.0,1,1376,6048,0,2,37,0
0,0,0,0.0,1,3,0,0,1,15,1,0,0,3.0,0,2.0,0,2208,0,1,2,19,4
0,0,0,0.0,1,1,0,1,1,39,1,0,0,0.0,1,1.0,0,920,8398,0,1,39,0
0,0,0,0.0,1,3,0,1,1,41,0,0,0,2.0,0,0.0,0,2031,0,0,2,22,0
0,0,0,0.0,1,0,3,0,1,9,0,0,0,0.0,0,0.0,0,1590,0,0,1,28,0
0,0,0,0.0,1,2,0,0,1,32,1,0,0,4.0,0,0.0,0,3850,0,0,1,30,0
0,0,0,0.0,1,2,0,1,1,52,1,0,0,4.0,0,1.0,1,2015,0,1,1,24,4
0,0,0,0.0,1,3,0,0,1,32,0,0,0,4.0,1,0.0,0,1376,1960,1,2,58,3
0,0,0,0.0,1,0,0,0,1,43,0,0,0,4.0,1,0.0,0,1376,4516,1,1,55,4
0,0,0,0.0,1,2,0,1,1,8,1,0,0,4.0,0,3.0,1,2015,0,0,1,23,0
0,0,0,0.0,1,2,3,1,1,36,1,0,0,3.0,1,0.0,0,1560,12196,0,2,44,0
0,0,0,0.0,1,2,3,0,1,2,1,0,0,0.0,0,0.0,0,2228,0,0,1,30,0
0,0,0,0.0,1,3,3,0,1,32,0,0,0,3.0,0,3.0,1,1376,0,0,1,21,0
0,0,0,0.0,1,3,0,0,0,37,0,0,0,4.0,0,1.0,0,1590,0,1,1,20,3
0,0,0,0.0,1,2,0,1,1,52,1,0,0,4.0,0,3.0,1,2228,0,1,0,23,4
0,0,0,0.0,1,2,0,1,1,50,1,0,0,2.0,0,0.0,0,2228,0,0,2,32,0
0,0,0,0.0,1,2,1,1,1,32,0,0,1,3.0,0,0.0,0,2169,0,0,1,23,0
0,0,0,0.0,1,0,0,0,1,39,1,0,0,0.0,0,2.0,0,2892,0,1,1,25,4
0,0,0,0.0,1,0,3,1,1,48,0,0,0,3.0,1,3.0,1,1376,22275,0,1,52,0
0,0,0,0.0,1,2,0,1,1,26,1,0,1,2.0,0,3.0,1,1376,0,0,0,22,0
0,0,0,0.0,1,3,0,1,1,32,0,0,0,4.0,1,3.0,1,1376,14387,0,1,51,0
0,0,0,0.0,1,2,0,1,1,32,1,0,0,3.0,1,3.0,1,2015,22013,0,1,50,0
0,0,0,0.0,1,2,3,1,0,41,0,0,1,0.0,0,0.0,0,2611,0,0,0,23,0
0,0,0,0.0,1,2,3,0,1,27,1,0,0,0.0,0,2.0,0,2015,0,0,1,24,0
0,0,0,0.0,1,1,0,1,1,8,0,0,0,4.0,0,0.0,0,1376,0,0,1,27,0
0,0,0,0.0,1,0,0,1,1,11,1,0,0,2.0,0,1.0,0,3213,0,0,2,23,0
0,0,0,0.0,1,2,0,1,1,41,1,0,0,2.0,0,0.0,0,2456,0,0,2,23,0
0,0,0,0.0,1,0,0,1,1,7,1,0,0,0.0,0,0.0,0,1590,0,0,1,25,0
0,0,0,0.0,1,3,0,1,1,7,0,0,0,4.0,0,0.0,0,1590,0,0,1,28,0
0,0,0,0.0,1,2,0,1,1,8,1,0,1,4.0,0,0.0,0,1376,0,1,1,18,3
0,0,0,0.0,1,2,0,1,1,32,1,0,0,3.0,0,2.0,0,2015,0,0,2,22,0
0,0,0,0.0,1,0,3,1,1,2,0,0,0,2.0,1,0.0,0,1376,9397,0,1,38,0
0,0,0,0.0,1,2,0,1,1,50,1,0,0,4.0,0,0.0,0,2015,0,1,2,31,4
0,0,0,0.0,1,3,0,0,2,41,0,0,0,3.0,0,3.0,1,1818,0,0,1,25,0
0,0,0,0.0,1,2,3,0,1,45,0,0,1,2.0,0,3.0,1,2169,0,0,1,25,0
0,0,0,0.0,1,0,0,1,2,28,0,0,0,2.0,0,0.0,0,2031,0,0,0,18,0
0,0,0,0.0,1,3,0,0,1,22,0,0,0,3.0,0,2.0,0,1590,0,0,2,22,0
0,0,0,0.0,1,3,0,0,1,8,0,0,0,4.0,1,3.0,1,1376,10867,0,2,55,0
0,0,0,0.0,1,0,0,1,1,48,1,0,0,2.0,1,0.0,0,2892,14018,0,2,21,0
0,0,0,0.0,1,2,3,1,1,41,1,0,0,0.0,0,3.0,1,2456,0,0,2,21,0
0,0,0,0.0,1,2,3,1,0,8,1,0,1,0.0,0,0.0,0,1590,0,0,1,27,0
0,0,0,0.0,1,0,0,0,1,48,0,0,0,3.0,0,0.0,0,1376,0,0,1,25,0
0,0,0,0.0,1,3,0,1,1,35,0,0,0,4.0,0,2.0,0,1590,0,0,2,29,0
0,0,0,0.0,1,2,3,0,1,2,1,0,0,4.0,0,1.0,0,2015,0,0,1,22,0
0,0,0,0.0,1,2,3,1,1,32,0,0,0,3.0,1,0.0,0,2064,31641,1,1,62,4
0,0,0,0.0,1,2,3,0,1,20,1,0,1,3.0,0,0.0,1,1376,0,0,2,30,0
0,0,0,0.0,1,0,0,1,1,2,1,0,0,0.0,0,1.0,0,2892,0,1,1,31,4
0,0,0,0.0,1,2,3,0,1,33,1,0,0,0.0,1,3.0,1,2015,7996,0,2,55,0
0,0,0,0.0,1,2,0,1,1,35,1,0,0,2.0,1,1.0,0,2015,14705,0,1,59,0
0,0,0,0.0,1,0,0,1,1,19,0,0,0,3.0,0,3.0,1,1376,0,0,2,28,0
0,0,0,0.0,1,0,0,0,1,32,0,0,0,4.0,1,2.0,0,1376,13817,1,1,53,6
0,0,0,0.0,1,2,0,0,1,8,1,0,1,2.0,1,0.0,0,3254,32131,1,2,37,5
0,0,0,0.0,1,2,0,0,1,31,1,0,0,2.0,0,0.0,0,2228,0,0,2,28,0
0,0,0,0.0,1,2,0,0,1,15,1,0,0,3.0,0,3.0,1,2015,0,0,2,20,0
0,0,0,0.0,1,0,0,1,1,8,1,0,0,4.0,1,0.0,1,2892,6951,1,1,54,6
0,0,0,0.0,1,2,0,0,1,2,1,0,0,0.0,0,3.0,1,2015,0,0,2,23,0
0,0,0,0.0,1,3,0,1,1,45,0,0,0,2.0,1,0.0,0,1376,15107,0,1,40,0
0,0,0,0.0,1,0,0,1,0,13,0,0,0,4.0,0,3.0,1,1590,0,0,2,19,0
0,0,0,0.0,1,0,1,0,1,8,0,0,0,4.0,0,1.0,0,1376,0,0,2,29,0
0,0,0,0.0,1,0,0,1,1,8,0,0,0,4.0,0,0.0,0,1590,0,0,1,30,0
0,0,0,0.0,1,2,2,1,1,19,1,0,0,2.0,0,0.0,0,2228,0,0,0,21,0
