criterion,max_depth,min_samples_split,min_samples_leaf,n_estimators,max_features,min_weight_fraction_leaf,max_leaf_nodes,accuracy,f1_score,recall,roc_auc,precision,cv_score,train_score,overfitting
entropy,30,10,2,300,sqrt,0.0,,0.8631297369594293,0.8610418061757544,0.8631297369594293,0.9367399154368448,0.8602596497662397,0.8548498895708583,0.9454488708562766,MILD OVERFITTING
entropy,30,5,2,200,sqrt,0.0,,0.8629514043691484,0.8607799093646351,0.8629514043691484,0.9372620413320696,0.8600107561704585,0.8552957086223192,0.9685890719397195,MILD OVERFITTING
entropy,20,5,2,300,sqrt,0.0,,0.8625947391885868,0.8607231516838668,0.8625947391885868,0.9376709676921526,0.8599037582083624,0.8552957111071674,0.9609648438370822,MILD OVERFITTING
entropy,20,5,2,400,sqrt,0.0,,0.8626839054837272,0.860693786960989,0.8626839054837272,0.9377000829626108,0.8598876317201944,0.8560982624300932,0.9620126178745793,MILD OVERFITTING
entropy,20,10,2,300,sqrt,0.0,,0.8627730717788676,0.8605987511465021,0.8627730717788676,0.9369536660699626,0.8598262621388912,0.8549613548943285,0.9406781550259714,MILD OVERFITTING
entropy,30,5,2,400,sqrt,0.0,,0.8625947391885868,0.8605148025428432,0.8625947391885868,0.9372915941270841,0.8597202646439025,0.8556301045927303,0.9688565887152507,MILD OVERFITTING
entropy,25,10,2,300,sqrt,0.0,,0.862238074008025,0.8602656034750769,0.862238074008025,0.9370015153464123,0.8594490849513813,0.8551396700906716,0.9453151124685111,MILD OVERFITTING
entropy,25,5,4,300,sqrt,0.0,,0.8623272403031654,0.860170267832555,0.8623272403031654,0.9353709806508346,0.8593843933298123,0.8535568615034534,0.9293532781951535,OK
entropy,30,10,2,400,sqrt,0.0,,0.862238074008025,0.8601689173219446,0.862238074008025,0.9366961629812381,0.8593654315988474,0.8550059380418988,0.9452259402100006,MILD OVERFITTING
entropy,30,5,4,400,sqrt,0.0,,0.8623272403031654,0.8600887312025708,0.8623272403031654,0.9353480304991209,0.85932079942534,0.8537797871806976,0.9302895869095125,OK
entropy,30,10,4,200,sqrt,0.0,,0.862238074008025,0.8600878379369473,0.862238074008025,0.9348747482543368,0.8592987060438938,0.8533784841859038,0.9270570925385113,OK
entropy,30,10,4,400,sqrt,0.0,,0.8623272403031654,0.8600559863226435,0.8623272403031654,0.9351177334827917,0.8592961319757102,0.8532001938380434,0.927458367701808,OK
entropy,30,5,2,300,sqrt,0.0,,0.8620597414177441,0.8599879062116818,0.8620597414177441,0.937265461978599,0.8591812825913125,0.8555632174471335,0.9688120025859955,MILD OVERFITTING
entropy,20,5,4,200,sqrt,0.0,,0.8619705751226037,0.859791702306955,0.8619705751226037,0.935076884599239,0.8590025166740595,0.8533116467372726,0.9276812983480839,OK
entropy,20,5,4,400,sqrt,0.0,,0.8618814088274632,0.8597581771831007,0.8618814088274632,0.935100471150307,0.8589564768657534,0.8534676877537681,0.9275029538310632,OK
entropy,30,20,2,400,sqrt,0.0,,0.8618814088274632,0.8597256058021562,0.8618814088274632,0.9348457523087574,0.858929916228494,0.8532447546219795,0.9179169360411976,OK
entropy,25,10,4,400,sqrt,0.0,,0.8618814088274632,0.8596274449494034,0.8618814088274632,0.9350246600772286,0.8588528572131389,0.8532001988077399,0.9274360746371804,OK
entropy,30,5,4,300,sqrt,0.0,,0.8617922425323228,0.8595942025990991,0.8617922425323228,0.9353058690419,0.8588050697976943,0.8534677051477061,0.9302672938448848,OK
