n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy,f1_score,recall,roc_auc,precision,cv_score,train_score,overfitting
500,0.05,6,6,0.85,0.8,1,0.5,5,2,0.8559964333481944,0.8607031016900432,0.8559964333481944,0.9454130442616546,0.875643072913792,0.856856191132429,0.8850346657154959,OK
500,0.05,6,6,0.75,0.8,1,0.1,5,2,0.8558181007579135,0.8604652556442737,0.8558181007579135,0.9448575471752898,0.8749734343416891,0.8569453459970902,0.8896939162226631,OK
500,0.05,6,4,0.75,0.7,1,0.1,10,2,0.8556397681676327,0.8603985666272055,0.8556397681676327,0.9441543656637729,0.8756189928261723,0.8559644501585618,0.8852798894263995,OK
500,0.05,6,4,0.75,0.8,1,0.1,10,2,0.8554614355773518,0.8602018375136797,0.8554614355773518,0.9444003737891608,0.8752601928569236,0.8560536258959482,0.8856811645896961,OK
500,0.05,6,6,0.85,0.8,1,0.1,10,2,0.8554614355773518,0.8601855899935357,0.8554614355773518,0.9449575016488709,0.8751343855918865,0.8561873977020275,0.8828499453819917,OK
500,0.05,6,6,0.75,0.8,1,0.5,10,2,0.8551939366919304,0.8600197302034078,0.8551939366919304,0.9445086213418273,0.8756076928705175,0.8554294300251483,0.8843881668412956,OK
500,0.05,6,6,0.75,0.7,1,0.1,5,2,0.8551939366919304,0.8600117194558438,0.8551939366919304,0.9444261280755291,0.8755440228109906,0.8572351309890544,0.8870856276612346,OK
500,0.05,6,4,0.85,0.7,2,0.1,5,2,0.8550156041016496,0.8599973131389375,0.8550156041016496,0.9442659145380897,0.8766624214058335,0.8536013877905363,0.8753594756671199,OK
500,0.05,6,6,0.75,0.7,1,0.5,5,2,0.85510477039679,0.8598324191052292,0.85510477039679,0.9444214545177712,0.8747324541540592,0.8564103049909514,0.8865060079809172,OK
500,0.05,6,4,0.75,0.7,1,0.5,10,2,0.8550156041016496,0.8598151815107737,0.8550156041016496,0.9443264122517058,0.8751839619533829,0.8556523477504349,0.8833403928037987,OK
500,0.05,6,6,0.75,0.8,1,0.1,10,2,0.8549264378065091,0.8596762385599569,0.8549264378065091,0.9441855890070922,0.8746885882825667,0.8559198466353243,0.8847225628107096,OK
500,0.05,6,6,0.75,0.7,1,0.1,10,2,0.8546589389210878,0.8594541272422621,0.8546589389210878,0.9436734466267376,0.8747182476920581,0.8560759030575692,0.8836302026439574,OK
500,0.05,6,6,0.85,0.8,1,0.5,10,2,0.8545697726259474,0.8594364241032566,0.8545697726259474,0.9448785085790212,0.8751741075984769,0.85554090528779,0.8831397552221504,OK
